city,year,n_obs,population,alpha,beta,kappa,delta,psi_at_center,p_at_center,psi_at_mean,p_at_mean,zero_ratio_obs,zero_ratio_pred,mean_nonzero_count,remoteness_mean,remoteness_std,remoteness_range,logLik,AIC,BIC,pseudo_R2,MSE,RMSE,MAE,fit_time_sec,n_iterations,convergence,fit_message
Lusaka,2016,15996000,2294091,-1.558405975,0.4188840177965671,-0.689590077,-0.078967388,0.1738754983006244,0.3341242689244988,0.9304183412277506,0.1866035901331122,0.8751589772443111,0.8750544178347592,2.4184681993653343,9.910951726953307,3.691512410047177,18.31503324781377,-7910099.282,15820206.56494526,15820264.916342257,-0.313562995,0.7880636542970179,0.887729493875819,0.4005905168424286,179.2562220096588,14,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Hanoi,2016,15999999,3854847,0.0561027523715362,0.1425515124371535,-0.067960505,-0.052163021,0.5140220104073309,0.4830164100680258,0.756859722052894,0.3862856944297014,0.752341297021331,0.7523387633119183,3.62254302102768,7.572256550855726,2.8595467892386184,14.673154347527491,-18105146.46,36210300.92381148,36210359.27620835,-1.021572352,3.4919968545754325,1.8686885386750336,1.301695341917651,128.23907661437988,8,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Monterrey,2016,15996000,4554656,-1.18613641,0.3510926013753951,-0.0915971,-0.03659836,0.2339506477878036,0.4771167219530361,0.7703759941605361,0.4154648398866842,0.7404182920730182,0.7404084430413138,3.8932369266056703,6.826039302078585,2.561553247834384,12.99579371821623,-18232964.8,36465937.60157532,36465995.95297231,-0.990582529,3.78833990448192,1.946365819799022,1.324542953737825,138.59244418144226,8,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Buenos Aires,2016,15996000,14792181,-0.063772915,0.1191482452527978,0.2693598954245753,-0.177084685,0.4840621724512002,0.5669357534816575,0.5912387810659282,0.4075789344377632,0.5952148037009253,0.5952228381089029,3.7717828910952735,3.632967569342451,1.3727193347233129,6.725840826113814,-25532432.04,51064872.07365163,51064930.42504862,-1.365040721,5.1623392527821546,2.272078179284805,1.8494388751274595,148.20789647102356,9,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Medan,2016,15992001,2237869,-1.749505159,0.3274524561006841,0.3778139218085015,-0.098230703,0.1481096227739268,0.59334573944355,0.831248788350523,0.3485685402482172,0.7772078678584374,0.7771984351665999,3.8785332252563367,10.212196370777155,3.807167968059834,19.250926035963506,-15394747.44,30789502.87706632,30789561.22746319,-0.814890829,2.846119210206715,1.687044519331578,1.0254856072144105,144.08073496818542,10,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Cairo,2016,15999999,19229733,-1.181826765,0.6328037710205151,0.163294257240397,-0.115758797,0.2347238981033481,0.5407330921356162,0.7066652311226658,0.4467682073431372,0.6873048554565535,0.6873048351778652,4.197119518572603,3.257043326487924,1.2226078750936258,6.024774021251914,-21788586.57,43577181.133647375,43577239.48604424,-1.192045617,4.95585329461382,2.226174587630948,1.6428576193699882,198.6528964042664,10,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Lagos,2016,15992001,12634381,0.3038536842841192,0.1570724230017218,-0.082994601,-0.102240799,0.5753843106201214,0.4792632514209132,0.7265224670775654,0.3725744466784113,0.7280243416693133,0.7280285571790953,3.477301304652213,4.285897158270052,1.595510441498865,7.919649726889406,-19298741.34,38597490.68925901,38597549.03965588,-1.062108342,3.571843549055677,1.8899321546171115,1.358336609384276,135.25603008270264,9,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Onitsha,2016,15992001,1164996,0.8899059374224085,0.064254590339726,-0.512588224,-0.048915517,0.7088707609706968,0.3745869815805193,0.8577958204512491,0.2309036871124811,0.8658776972312595,0.8658637130988589,2.455585943109278,14.11877732727611,5.255978235929801,26.085037452132223,-9899247.014,19798502.02837385,19798560.37877072,-0.570505258,1.0173592663190536,1.0086422885835462,0.5509581882911193,130.93833112716675,9,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Johannesburg,2016,15996000,5146559,-0.253630124,0.1178540624223484,-0.437516534,-0.046259764,0.4369302043778346,0.3923328883695716,0.6225354787220042,0.3244366538436843,0.631369967491873,0.6313699421326372,3.050326747284794,6.397354055131414,2.3927570081245,11.829690924486504,-23119759.95,46239527.898944326,46239586.25034132,-1.195832353,3.555509052845873,1.8856057522307976,1.4173297012305377,129.13602471351624,8,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Kinshasa,2016,15992001,12100142,-0.274921198,0.4128191142082807,0.2273081891732569,-0.381394273,0.4316993492084067,0.5565836218514145,0.8229195598032087,0.1906185380402795,0.8263967092048081,0.8264705609643003,2.6596815000302563,4.387334544429052,1.6332505184074668,8.106432973383964,-11643983.13,23287974.26191763,23288032.6123145,-0.577525182,1.4559988304280975,1.2066477656831331,0.680991214632139,147.58368754386902,10,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Luanda,2016,15992001,7265449,-0.04527441,0.2646876201333255,-0.144507353,-0.14491233,0.4886833304463631,0.4639358984789518,0.8094773839577499,0.2766189771836155,0.805336868100496,0.8053425970686142,2.91050072067517,5.636426580649587,2.098356909748271,10.41574454489344,-13630710.02,27261428.037261568,27261486.38765844,-0.729195967,1.877270525498992,1.370135221610988,0.8478671253116175,133.5028944015503,9,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
